cowid,AmbientPPM,BaseAnimalPPM,PeakAnimalPPM,MethanePPmAmbient,PPMPeakDelta,time
1,130,358,3814,424,1769,11/05/2023 07:15:32
1,180,703,2185,446,654,11/05/2023 14:32:59
1,168,266,2917,461,921,11/06/2023 06:48:20
1,140,681,2534,514,823,11/06/2023 13:25:57
1,124,597,1071,391,378,11/07/2023 09:32:18
1,151,906,3329,342,1989,11/07/2023 12:51:44
1,194,682,1372,423,1541,11/08/2023 07:20:35
1,123,806,2515,260,534,11/08/2023 18:45:57
1,179,463,2757,290,1164,11/09/2023 07:03:42
1,104,370,1862,458,1207,11/09/2023 15:38:47
1,130,358,3814,424,1769,11/10/2023 07:15:32
1,180,703,2185,446,654,11/10/2023 14:32:59
1,168,266,2917,461,921,11/11/2023 06:48:20
1,140,681,2534,514,823,11/11/2023 13:25:57
1,124,597,1071,391,378,11/12/2023 09:32:18
1,151,906,3329,342,1989,11/12/2023 12:51:44
1,194,682,1372,423,1541,11/13/2023 07:20:35
1,123,806,2515,260,534,11/13/2023 18:45:57
1,179,463,2757,290,1164,11/14/2023 07:03:42
1,104,370,1862,458,1207,11/14/2023 15:38:47
2,101,370,2964,168,906,11/05/2023 08:04:55
2,133,802,1473,510,1014,11/05/2023 12:10:19
2,154,931,3679,640,1678,11/06/2023 07:35:47
2,192,231,2907,153,1838,11/06/2023 13:22:14
2,134,200,3751,245,979,11/07/2023 09:59:22
2,197,310,3085,467,492,11/07/2023 14:30:19
2,155,519,2967,645,868,11/08/2023 08:46:01
2,133,709,3559,332,1735,11/08/2023 15:15:50
2,164,963,435,265,1644,11/09/2023 07:39:41
2,137,838,2674,174,1267,11/09/2023 14:52:32
2,101,370,2964,168,906,11/10/2023 08:04:55
2,133,802,1473,510,1014,11/10/2023 12:10:19
2,154,931,3679,640,1678,11/11/2023 07:35:47
2,192,231,2907,153,1838,11/11/2023 13:22:14
2,134,200,3751,245,979,11/12/2023 09:59:22
2,197,310,3085,467,492,11/12/2023 14:30:19
2,155,519,2967,645,868,11/13/2023 08:46:01
2,133,709,3559,332,1735,11/13/2023 15:15:50
2,164,963,435,265,1644,11/14/2023 07:39:41
2,137,838,2674,174,1267,11/14/2023 14:52:32
3,130,358,3814,424,1769,11/05/2023 07:20:32
3,180,703,2185,446,654,11/05/2023 14:32:59
3,168,266,2917,461,921,11/06/2023 06:48:20
3,140,681,2534,514,823,11/06/2023 14:25:57
3,124,597,1071,391,378,11/07/2023 09:32:18
3,151,906,3329,342,1989,11/07/2023 16:51:44
3,194,682,1372,423,1541,11/08/2023 07:20:35
3,123,806,2515,260,534,11/08/2023 15:45:57
3,179,463,2757,290,1164,11/09/2023 07:03:42
3,104,370,1862,458,1207,11/09/2023 15:38:47
3,130,358,3814,424,1769,11/10/2023 07:15:32
3,180,703,2185,446,654,11/10/2023 15:32:59
3,168,266,2917,461,921,11/11/2023 06:48:20
3,140,681,2534,514,823,11/11/2023 18:25:57
3,124,597,1071,391,378,11/12/2023 09:32:18
3,151,906,3329,342,1989,11/12/2023 13:51:44
3,194,682,1372,423,1541,11/13/2023 07:20:35
3,123,806,2515,260,534,11/13/2023 14:45:57
3,179,463,2757,290,1164,11/14/2023 07:03:42
3,104,370,1862,458,1207,11/14/2023 15:38:47
4,101,370,2964,168,906,11/05/2023 08:04:55
4,133,802,1473,510,1014,11/05/2023 12:10:19
4,154,931,3679,640,1678,11/06/2023 07:35:47
4,192,231,2907,153,1838,11/06/2023 13:22:14
4,134,200,3751,245,979,11/07/2023 09:59:22
4,197,310,3085,467,492,11/07/2023 14:30:19
4,155,519,2967,645,868,11/08/2023 08:46:01
4,133,709,3559,332,1735,11/08/2023 15:15:50
4,164,963,435,265,1644,11/09/2023 07:39:41
4,137,838,2674,174,1267,11/09/2023 14:52:32
4,101,370,2964,168,906,11/10/2023 08:04:55
4,133,802,1473,510,1014,11/10/2023 12:10:19
4,154,931,3679,640,1678,11/11/2023 07:35:47
4,192,231,2907,153,1838,11/11/2023 13:22:14
4,134,200,3751,245,979,11/12/2023 09:59:22
4,197,310,3085,467,492,11/12/2023 14:30:19
